Year,NUTS 3 Region,SectorAgg,GVA,PersonsAtWork,Productivity
2005,South-East,Knowledge & Professional Services,1424.27,20.56,69273.8326848249
2005,South-East,Public Services,1593.48,30.65,51989.55954323002
2005,South-West,Agriculture & Fishing,442.43,20.87,21199.32918064207
2005,South-West,Arts & Other Services,358.34,13.45,26642.379182156135
2005,South-West,Distribution & Hospitality,4494.72,74.8,60089.83957219251
2005,South-West,Industry,10673.21,80.5,132586.4596273292
2005,South-West,Knowledge & Professional Services,4270.530000000001,49.37,86500.50638039297
2005,South-West,Public Services,3375.01,62.84,53707.988542329724
2005,West,Agriculture & Fishing,157.65,18.47,8535.46291283162
2005,West,Arts & Other Services,216.56,7.2,30077.777777777777
2005,West,Distribution & Hospitality,1530.97,44.44,34450.2700270027
2005,West,Industry,4537.37,53.83,84290.73007616571
2005,West,Knowledge & Professional Services,2232.37,23.62,94511.85436071127
2005,West,Public Services,2457.61,39.18,62726.13578356304
2006,Border,Agriculture & Fishing,207.45,17.4,11922.413793103447
2006,Border,Arts & Other Services,216.71,7.39,29324.763193504736
2006,Border,Distribution & Hospitality,1119.06,39.47,28352.16620217887
2006,Border,Industry,2991.73,46.620000000000005,64172.67267267266
2006,Border,Knowledge & Professional Services,1294.3,15.81,81865.90765338394
2006,Border,Public Services,1762.78,36.37,48467.96810558152
2006,Dublin,Agriculture & Fishing,52.86,2.17,24359.447004608293
2006,Dublin,Arts & Other Services,1627.79,37.86,42994.98151082937
2006,Dublin,Distribution & Hospitality,11440.55,182.86,62564.53024171497
2006,Dublin,Industry,16758.559999999998,122.28,137050.7033038927
2006,Dublin,Knowledge & Professional Services,34348.77,210.98000000000002,162805.8109773438
2006,Dublin,Public Services,9723.85,157.71,61656.52146344556
2006,Ireland,Agriculture & Fishing,1703.36,112.85,15094.018608772707
2006,Ireland,Arts & Other Services,3667.63,103.4,35470.30947775629
2006,Ireland,Distribution & Hospitality,26090.53,524.41,49752.15956980226
2006,Ireland,Industry,55623.490000000005,542.95,102446.7998894926
2006,Ireland,Knowledge & Professional Services,50635.8,392.98999999999995,128847.55337285937
2006,Ireland,Public Services,24857.26,451.64,55037.77344787884
2006,Mid-East,Agriculture & Fishing,220.3,13.82,15940.665701881331
2006,Mid-East,Arts & Other Services,519.51,14.96,34726.60427807487
2006,Mid-East,Distribution & Hospitality,2373.01,58.85,40323.02463891249
2006,Mid-East,Industry,7632.71,78.38,97380.83694820107
2006,Mid-East,Knowledge & Professional Services,2988.84,31.84,93870.60301507538
2006,Mid-East,Public Services,2142.89,48.19,44467.524382651995
2006,Mid-West,Agriculture & Fishing,270.98,17.89,15147.009502515371
2006,Mid-West,Arts & Other Services,282.8,9.75,29005.128205128207
2006,Mid-West,Distribution & Hospitality,1862.53,53.96,34516.864343958485
2006,Mid-West,Industry,5414.01,68.31,79256.47782169521
2006,Mid-West,Knowledge & Professional Services,2343.92,28.720000000000002,81612.81337047352
2006,Mid-West,Public Services,2386.7,46.28,51570.87294727744
2006,Midlands,Agriculture & Fishing,117.5,7.83,15006.385696040868
2006,Midlands,Arts & Other Services,132.79,4.34,30596.774193548383
2006,Midlands,Distribution & Hospitality,1016.12,25.19,40338.229456133384
2006,Midlands,Industry,2282.6000000000004,33.71,67712.84485315932
2006,Midlands,Knowledge & Professional Services,980.9599999999999,11.63,84347.37747205501
2006,Midlands,Public Services,1244.01,22.55,55166.740576496675
2006,South-East,Agriculture & Fishing,254.23,14.5,17533.103448275862
2006,South-East,Arts & Other Services,243.76,8.02,30394.014962593516
2006,South-East,Distribution & Hospitality,1538.66,42.9,35866.20046620047
2006,South-East,Industry,4071.97,52.35000000000001,77783.57211079272
2006,South-East,Knowledge & Professional Services,1557.81,23.16,67262.95336787564
2006,South-East,Public Services,1844.75,31.42,58712.603437301084
2006,South-West,Agriculture & Fishing,425.99,21.65,19676.21247113164
2006,South-West,Arts & Other Services,406.38,13.62,29837.004405286345
2006,South-West,Distribution & Hospitality,5060.42,75.96,66619.53659820958
2006,South-West,Industry,11689.6,86.47999999999999,135171.13783533766
2006,South-West,Knowledge & Professional Services,4762.57,49.11,96977.6013031969
2006,South-West,Public Services,3705.53,66.15,56017.08238851096
2006,West,Agriculture & Fishing,154.05,17.58,8762.798634812287
2006,West,Arts & Other Services,237.9,7.46,31890.080428954425
2006,West,Distribution & Hospitality,1680.18,45.23,37147.46849436215
2006,West,Industry,4782.299999999999,54.81999999999999,87236.41006931776
2006,West,Knowledge & Professional Services,2358.63,21.73,108542.56787850897
2006,West,Public Services,2046.76,42.99,47610.141893463595
2007,Border,Agriculture & Fishing,253.49,16.05,15793.769470404985
2007,Border,Arts & Other Services,168.95,7.45,22677.85234899329
2007,Border,Distribution & Hospitality,1226.58,39.33,31186.880244088483
2007,Border,Industry,2853.9300000000003,44.86,63618.59117253679
2007,Border,Knowledge & Professional Services,1392.52,17.25,80725.79710144928
2007,Border,Public Services,1786.73,36.37,49126.47786637338
2007,Dublin,Agriculture & Fishing,65.77,1.43,45993.00699300699
2007,Dublin,Arts & Other Services,1851.31,36.77,50348.38183301604
2007,Dublin,Distribution & Hospitality,12863.17,190.98,67353.49251230495
2007,Dublin,Industry,16097.71,128.86,124924.02607480985
2007,Dublin,Knowledge & Professional Services,38954.63,224.48000000000002,173532.74233784745
2007,Dublin,Public Services,10409.37,164.06,63448.555406558575
2007,Ireland,Agriculture & Fishing,2055.87,112.17,18328.162610323616
2007,Ireland,Arts & Other Services,4081.02,105.02,38859.455341839646
2007,Ireland,Distribution & Hospitality,28864.13,560.45,51501.703987866895
2007,Ireland,Industry,56217.14,554.28,101423.72086310168
2007,Ireland,Knowledge & Professional Services,56601.46,417.51,135569.11211707504
2007,Ireland,Public Services,27246.3,469.17,58073.406228019696
2007,Mid-East,Agriculture & Fishing,268.02,14.92,17963.80697050938
2007,Mid-East,Arts & Other Services,594.25,15.96,37233.709273182954
2007,Mid-East,Distribution & Hospitality,2653.63,70.46,37661.51007663923
2007,Mid-East,Industry,7166.460000000001,78.58,91199.54186815985
2007,Mid-East,Knowledge & Professional Services,3276.0,35.0,93600.0
2007,Mid-East,Public Services,2303.71,51.17,45020.71526284933
2007,Mid-West,Agriculture & Fishing,325.56,17.17,18960.978450786257
2007,Mid-West,Arts & Other Services,320.11,9.73,32899.28057553957
2007,Mid-West,Distribution & Hospitality,2018.66,57.04,35390.252454417954
2007,Mid-West,Industry,5915.91,69.97,84549.23538659426
2007,Mid-West,Knowledge & Professional Services,2398.0299999999997,29.7,80741.75084175082
2007,Mid-West,Public Services,2584.98,46.63,55435.98541711344
2007,Midlands,Agriculture & Fishing,138.19,8.8,15703.40909090909
2007,Midlands,Arts & Other Services,148.32,4.82,30771.784232365146
2007,Midlands,Distribution & Hospitality,1209.23,26.69,45306.48182840015
2007,Midlands,Industry,2174.45,34.44,63137.34030197445
2007,Midlands,Knowledge & Professional Services,1022.22,13.319999999999999,76743.24324324325
2007,Midlands,Public Services,1318.38,22.98,57370.75718015666
